frame,timestamp,shot_type,direction
1824,72.96,Backhand,Left
1827,73.08,Backhand,Left
1830,73.2,Backhand,Left
1833,73.32,Backhand,Left
1836,73.44,Backhand,Left
1839,73.56,Forehand,Right
1842,73.68,Forehand,Right
1845,73.8,Forehand,Right
1848,73.92,Forehand,Right
1851,74.04,Forehand,Right
1854,74.16,Forehand,Right
1887,75.48,Smash,Left
1890,75.6,Forehand,Left
1893,75.72,Forehand,Left
1896,75.84,Forehand,Left
1899,75.96,Forehand,Left
1902,76.08,Backhand,Left
1905,76.2,Forehand,Right
1908,76.32,Forehand,Right
1908,76.32,Bounce,Right
1911,76.44,Forehand,Right
1914,76.56,Forehand,Right
1917,76.68,Forehand,Right
1920,76.8,Backhand,Right
1923,76.92,Backhand,Right
1926,77.04,Backhand,Right
1929,77.16,Backhand,Right
1932,77.28,Backhand,Right
1935,77.4,Backhand,Right
1938,77.52,Forehand,Right
1941,77.64,Forehand,Right
1944,77.76,Forehand,Right
1947,77.88,Forehand,Right
1950,78.0,Forehand,Right
1953,78.12,Backhand,Right
1956,78.24,Backhand,Right
1959,78.36,Backhand,Right
1959,78.36,Bounce,Right
1962,78.48,Smash,Right
1965,78.6,Smash,Right
1971,78.84,Backhand,Right
1974,78.96,Backhand,Right
1977,79.08,Backhand,Right
1980,79.2,Smash,Right
1980,79.2,Bounce,Right
1983,79.32,Smash,Right
1983,79.32,Bounce,Right
1986,79.44,Smash,Right
1989,79.56,Smash,Right
1992,79.68,Backhand,Right
1995,79.8,Forehand,Right
1998,79.92,Forehand,Right
2001,80.04,Forehand,Right
2004,80.16,Forehand,Right
2007,80.28,Forehand,Right
2010,80.4,Forehand,Right
2013,80.52,Forehand,Right
2016,80.64,Forehand,Right
2061,82.44,Smash,Left
2064,82.56,Backhand,Left
2067,82.68,Forehand,Left
2070,82.8,Forehand,Left
2076,83.04,Forehand,Left
2079,83.16,Forehand,Left
2082,83.28,Backhand,Left
2085,83.4,Backhand,Left
2088,83.52,Backhand,Left
2091,83.64,Backhand,Left
2094,83.76,Backhand,Left
2097,83.88,Backhand,Left
2100,84.0,Backhand,Left
2130,85.2,Backhand,Left
2133,85.32,Backhand,Left
2136,85.44,Forehand,Left
2139,85.56,Forehand,Left
2142,85.68,Forehand,Left
2145,85.8,Backhand,Left
2169,86.76,Smash,Right
2172,86.88,Smash,Right
